package name,version,source,downloads,language,use_count
org.scalacheck/scalacheck_2.11,,maven,,java,5822
javax.enterprise/cdi-api,,maven,,java,5447
org.scala-lang.modules/scala-xml_2.11,,maven,,java,5395
javax.ws.rs/javax.ws.rs-api,,maven,,java,5229
commons-beanutils/commons-beanutils,,maven,,java,5034
org.hdrhistogram/HdrHistogram,,maven,,java,5007
org.scala-lang.modules/scala-parser-combinators_2.11,,maven,,java,4754
org.scala-js/scalajs-stubs_2.11,,maven,,java,4410
org.specs2/specs2-fp_2.11,,maven,,java,4372
org.specs2/specs2-common_2.11,,maven,,java,4371
org.specs2/specs2-matcher_2.11,,maven,,java,4370
org.specs2/specs2-core_2.11,,maven,,java,4369
org.latencyutils/LatencyUtils,,maven,,java,4240
org.slf4j/jul-to-slf4j,,maven,,java,4020
org.powermock/powermock-api-mockito,,maven,,java,3910
javax.annotation/jsr250-api,,maven,,java,3545
org.powermock/powermock-core,,maven,,java,3531
org.jmockit/jmockit,,maven,,java,3504
org.osgi/org.osgi.compendium,,maven,,java,3457
com.github.jnr/jffi,,maven,,java,3267
com.github.jnr/jnr-ffi,,maven,,java,3264
javax.json/javax.json-api,,maven,,java,3115
org.scalacheck/scalacheck_2.12,,maven,,java,3112
xpp3/xpp3,,maven,,java,3093
io.dropwizard.metrics/metrics-jvm,,maven,,java,2980
javax.jms/javax.jms-api,,maven,,java,2898
org.eclipse.persistence/javax.persistence,,maven,,java,2821
org.codehaus.jackson/jackson-mapper-asl,,maven,,java,2735
org.specs2/specs2-scalacheck_2.11,,maven,,java,2713
org.osgi/org.osgi.enterprise,,maven,,java,2709
xerces/xmlParserAPIs,,maven,,java,2687
org.scala-lang.modules/scala-xml_2.12,,maven,,java,2682
org.slf4j/log4j-over-slf4j,,maven,,java,2671
com.github.dblock.waffle/waffle-jna,,maven,,java,2651
org.postgresql/postgresql,,maven,,java,2623
org.specs2/classycle,,maven,,java,2616
javax.resource/javax.resource-api,,maven,,java,2614
org.khronos/opengl-api,,maven,,java,2595
com.google.android/android,,maven,,java,2594
com.github.jnr/jnr-unixsocket,,maven,,java,2577
com.ibm.icu/icu4j,,maven,,java,2553
commons-pool/commons-pool,,maven,,java,2523
com.hazelcast/hazelcast,,maven,,java,2520
com.netflix.archaius/archaius-core,,maven,,java,2473
mysql/mysql-connector-java,,maven,,java,2433
org.typelevel/macro-compat_2.11,,maven,,java,2431
javax.json.bind/javax.json.bind-api,,maven,,java,2412
org.scala-lang.modules/scala-parser-combinators_2.12,,maven,,java,2409
