package name,version,source,downloads,language
sebastian/object-reflector,,packagist,"{u'last_month': 2121093, u'overall': 23322984, u'last_day': 88546}",php
theseer/tokenizer,,packagist,"{u'last_month': 2127273, u'overall': 23268253, u'last_day': 88808}",php
phar-io/manifest,,packagist,"{u'last_month': 2134926, u'overall': 23261987, u'last_day': 89230}",php
phar-io/version,,packagist,"{u'last_month': 2134360, u'overall': 23239566, u'last_day': 89224}",php
filp/whoops,,packagist,"{u'last_month': 1278632, u'overall': 23237510, u'last_day': 56318}",php
symfony/polyfill-ctype,,packagist,"{u'last_month': 4124592, u'overall': 23132676, u'last_day': 185974}",php
container-interop/container-interop,,packagist,"{u'last_month': 1141466, u'overall': 22500995, u'last_day': 47846}",php
symfony/assetic-bundle,,packagist,"{u'last_month': 384150, u'overall': 22487602, u'last_day': 16927}",php
laravel/tinker,,packagist,"{u'last_month': 1438236, u'overall': 21025624, u'last_day': 58439}",php
doctrine/migrations,,packagist,"{u'last_month': 773873, u'overall': 20997854, u'last_day': 34929}",php
justinrainbow/json-schema,,packagist,"{u'last_month': 987380, u'overall': 20351478, u'last_day': 46845}",php
ocramius/proxy-manager,,packagist,"{u'last_month': 949603, u'overall': 20075245, u'last_day': 41827}",php
jms/serializer-bundle,,packagist,"{u'last_month': 555816, u'overall': 19603454, u'last_day': 27914}",php
doctrine/data-fixtures,,packagist,"{u'last_month': 593840, u'overall': 19479599, u'last_day': 28253}",php
gedmo/doctrine-extensions,,packagist,"{u'last_month': 563096, u'overall': 18907210, u'last_day': 27946}",php
symfony/stopwatch,,packagist,"{u'last_month': 835966, u'overall': 18422283, u'last_day': 32788}",php
composer/semver,,packagist,"{u'last_month': 1219587, u'overall': 18144113, u'last_day': 54726}",php
zendframework/zend-diactoros,,packagist,"{u'last_month': 1087213, u'overall': 18121391, u'last_day': 61108}",php
willdurand/jsonp-callback-validator,,packagist,"{u'last_month': 524284, u'overall': 18111808, u'last_day': 22869}",php
google/apiclient,,packagist,"{u'last_month': 664707, u'overall': 17652839, u'last_day': 29807}",php
symfony/options-resolver,,packagist,"{u'last_month': 1094314, u'overall': 17546101, u'last_day': 46827}",php
pdepend/pdepend,,packagist,"{u'last_month': 524777, u'overall': 17323271, u'last_day': 22807}",php
doctrine/doctrine-migrations-bundle,,packagist,"{u'last_month': 683455, u'overall': 17097621, u'last_day': 28551}",php
symfony/polyfill-php55,,packagist,"{u'last_month': 423022, u'overall': 16895895, u'last_day': 19496}",php
phpmd/phpmd,,packagist,"{u'last_month': 523012, u'overall': 16793008, u'last_day': 24986}",php
behat/mink,,packagist,"{u'last_month': 483676, u'overall': 16764669, u'last_day': 23294}",php
symfony/polyfill-php54,,packagist,"{u'last_month': 405257, u'overall': 16719896, u'last_day': 17333}",php
doctrine/doctrine-fixtures-bundle,,packagist,"{u'last_month': 515775, u'overall': 16671482, u'last_day': 24090}",php
intervention/image,,packagist,"{u'last_month': 679617, u'overall': 16661581, u'last_day': 27122}",php
phpspec/php-diff,,packagist,"{u'last_month': 329753, u'overall': 16649675, u'last_day': 14027}",php
behat/behat,,packagist,"{u'last_month': 449425, u'overall': 16413370, u'last_day': 18527}",php
willdurand/negotiation,,packagist,"{u'last_month': 549918, u'overall': 16314698, u'last_day': 28086}",php
symfony/polyfill-php72,,packagist,"{u'last_month': 1894630, u'overall': 15929629, u'last_day': 74390}",php
friendsofsymfony/rest-bundle,,packagist,"{u'last_month': 439414, u'overall': 15844309, u'last_day': 20487}",php
