source,target,distance
alecsammon/php-raml-parser,alecsammon/php-raml-parser,0
99designs/money-php,99designs/money-php,0
2amigos/yii2-multi-select-widget,2amigos/yii2-multi-select-widget,0
abeautifulsite/jquery-minicolors,abeautifulsite/jquery-minicolors,0
acmephp/ssl,acmephp/ssl,0
aimeos/aimeos-core,aimeos/aimeos-core,0
anho/behat-formatter-teamcity,anho/behat-formatter-teamcity,0
adespresso/feature-bundle,adespresso/feature-bundle,0
anouar/paypalpayment,anouar/paypalpayment,0
adespresso/white-label-bundle,adespresso/white-label-bundle,0
acmephp/core,acmephp/core,0
aerospike/aerospike-client-php,aerospike/aerospike-client-php,0
aerospike/aerospike-client-php,aerospike/aerospike-client-php5,1
andreyco/instagram,andreyco/instagram,0
2amigos/yii2-type-ahead-widget,2amigos/yii2-type-ahead-widget,0
alchemy/mediavorus,alchemy/mediavorus,0
addwiki/mediawiki-api-base,addwiki/mediawiki-api-base,0
algolia/search-bundle,algolia/search-bundle,0
aimeos/ai-controller-frontend,aimeos/ai-controller-frontend,0
admitad/api,admitad/api,0
anomaly/streams-composer-plugin,anomaly/streams-composer-plugin,0
acquia/acquia-sdk-php,acquia/acquia-sdk-php,0
adamwathan/eloquent-oauth,adamwathan/eloquent-oauth,0
aimeos/ai-swiftmailer,aimeos/ai-swiftmailer,0
aimeos/ai-gettext,aimeos/ai-gettext,0
adam-paterson/oauth2-stripe,adampaterson/oauth2-stripe,1
adam-paterson/oauth2-stripe,adam-paterson/oauth2-stripe,0
aimeos/ai-client-html,aimeos/ai-client-html,0
aimeos/ai-admin-jqadm,aimeos/ai-admin-jqadm,0
apix/log,anax/log,2
99designs/cliph,99designs/cliph,0
anomaly/users-module,anomaly/users-module,0
alexgarrett/violin,alexgarrett/violin,0
acquia/acquia-sdk-php-rest,acquia/acquia-sdk-php-rest,0
alom/journal-extension,alom/journal-extension,0
aimeos/ai-controller-jobs,aimeos/ai-controller-jobs,0
2amigos/yiistrap,2amigos/yiistrap,0
anomaly/relationship-field_type,anomaly/relationship-field-type,1
anomaly/relationship-field_type,anomaly/relationship-field_type,0
anomaly/multiple-field_type,anomaly/multiple-field-type,1
anomaly/multiple-field_type,anomaly/multiple-field_type,0
alt-three/testbench,alt-three/testbench,0
aimeos/ai-admin-jsonadm,aimeos/ai-admin-jsonadm,0
anomaly/datetime-field_type,anomaly/datetime-field_type,0
anomaly/datetime-field_type,anomaly/datetime-field-type,1
anomaly/wysiwyg-field_type,anomaly/wysiwyg-field_type,0
anomaly/wysiwyg-field_type,anomaly/wysiwyg-field-type,1
adlawson/vfs,adlawson/vfs,0
2amigos/yii2-dosamigos-asset-bundle,2amigos/yii2-dosamigos-asset-bundle,0
anomaly/select-field_type,anomaly/select-field_type,0
anomaly/select-field_type,anomaly/select-field-type,1
ably/ably-php,ably/ably-php,0
anomaly/editor-field_type,anomaly/editor-field-type,1
anomaly/editor-field_type,anomaly/editor-field_type,0
a5hleyrich/wp-background-processing,a5hleyrich/wp-background-processing,0
anomaly/file-field_type,anomaly/files-field_type,1
anomaly/file-field_type,anomaly/file-field_type,0
anomaly/file-field_type,anomaly/file-field-type,1
2amigos/qrcode-library,2amigos/qrcode-library,0
anomaly/checkboxes-field_type,anomaly/checkboxes-field_type,0
anomaly/checkboxes-field_type,anomaly/checkboxes-field-type,1
anomaly/markdown-field_type,anomaly/markdown-field_type,0
anomaly/markdown-field_type,anomaly/markdown-field-type,1
anomaly/preferences-module,anomaly/preferences-module,0
anomaly/boolean-field_type,anomaly/boolean-field_type,0
anomaly/boolean-field_type,anomaly/boolean-field-type,1
anomaly/settings-module,anomaly/settings-module,0
anomaly/text-field_type,anomaly/text-field_type,0
anomaly/text-field_type,anomaly/text-field-type,1
alfaproject/omnipay-skrill,alfaproject/omnipay-skrill,0
anomaly/country-field_type,anomaly/country-field-type,1
anomaly/country-field_type,anomaly/country-field_type,0
abhinavsingh/jaxl,abhinavsingh/jaxl,0
anomaly/textarea-field_type,anomaly/textarea-field_type,0
anomaly/textarea-field_type,anomaly/textarea-field-type,1
anomaly/url-field_type,anomaly/url-field-type,1
anomaly/url-field_type,anomaly/url-field_type,0
anomaly/slider-field_type,anomaly/slider-field_type,0
anomaly/slider-field_type,anomaly/slider-field-type,1
anomaly/encrypted-field_type,anomaly/encrypted-field_type,0
anomaly/encrypted-field_type,anomaly/encrypted-field-type,1
anomaly/files-module,anomaly/files-module,0
anomaly/slug-field_type,anomaly/slug-field-type,1
anomaly/slug-field_type,anomaly/slug-field_type,0
99designs/repl-bundle,99designs/repl-bundle,0
anomaly/integer-field_type,anomaly/integer-field-type,1
anomaly/integer-field_type,anomaly/integer-field_type,0
anomaly/pages-module,anomaly/taxes-module,2
anomaly/pages-module,anomaly/pages-module,0
anomaly/addons-module,anomaly/addons-module,0
anomaly/decimal-field_type,anomaly/decimal-field_type,0
2checkout/2checkout-php,2checkout/2checkout-php,0
99designs/relax,99designs/relax,0
anomaly/language-field_type,anomaly/language-field_type,0
anomaly/language-field_type,anomaly/language-field-type,1
